en en_half cnts err model
0.369245499 4.43264842E-2 5.57163639E-6 2.17864635E-6 1.3713244E-6
0.492970526 7.93985277E-2 1.65602864E-6 1.01599471E-6 1.94670451E-6
0.617651522 4.52824831E-2 4.33169089E-6 1.43770353E-6 2.94393362E-6
0.722512007 5.95780015E-2 2.84845237E-6 9.34308105E-7 3.62920605E-6
0.831189513 4.90995049E-2 3.59023215E-6 1.02658657E-6 3.99216833E-6
0.916878521 3.65895033E-2 4.91316041E-6 1.30731496E-6 4.12619193E-6
0.999629021 4.61610258E-2 3.95225106E-6 1.02173897E-6 4.09760605E-6
1.09911501 5.33249378E-2 2.87188482E-6 8.27563156E-7 3.90843616E-6
1.193645 4.1204989E-2 4.36233859E-6 1.08335121E-6 3.74333899E-6
1.28097987 4.61300015E-2 3.32141281E-6 9.03255625E-7 3.57915633E-6
1.36848497 4.1375041E-2 3.88281387E-6 9.90392323E-7 3.39730195E-6
1.434255 2.4394989E-2 6.60938758E-6 1.66289669E-6 3.25390783E-6
1.49533498 3.66849899E-2 3.83739689E-6 1.10865597E-6 3.1352904E-6
1.58355999 5.15400171E-2 2.97130418E-6 8.12019493E-7 2.97287147E-6
1.68684506 5.17449975E-2 3.00342208E-6 8.04951469E-7 2.7906633E-6
1.79299998 5.44100404E-2 2.81328903E-6 7.65071718E-7 2.62159915E-6
1.9293251 8.19149613E-2 2.04167009E-6 5.66318704E-7 2.41673956E-6
2.06600499 5.4764986E-2 3.31075148E-6 8.58297653E-7 2.23791676E-6
2.19557476 7.48049021E-2 2.60776778E-6 7.04009153E-7 2.0926575E-6
2.40773487 0.137355208 1.58244143E-6 5.04236425E-7 1.85971373E-6
2.68755507 0.142464876 1.50380311E-6 4.6717048E-7 1.62578692E-6
2.98001003 0.149990082 1.36609026E-6 4.3282563E-7 1.42646707E-6
3.3375001 0.207499981 9.8697933E-7 3.14262621E-7 1.23482425E-6
3.66000009 0.11500001 1.97212989E-6 5.37635401E-7 1.0933544E-6
3.94000006 0.164999962 1.21527023E-6 3.69303081E-7 9.8902126E-7
4.42749977 0.32249999 5.38214749E-7 1.91601302E-7 8.43857151E-7
5.00500011 0.255000114 8.08083996E-7 2.45021312E-7 7.17076148E-7
5.59500027 0.3349998 5.54852306E-7 1.92143858E-7 6.18972251E-7
6.26000023 0.330000162 6.29878286E-7 2.25091142E-7 5.32922627E-7
7.09749985 0.507499933 4.13586491E-7 2.03471842E-7 4.52599068E-7
7.83250046 0.2275002 8.0311986E-7 6.69578128E-7 3.9283367E-7
8.35499954 0.294999599 1.01665296E-6 6.61533761E-7 3.60289505E-7
14.5649996 5.91499996 9.98795826E-7 4.2725398E-7 2.89435974E-7
