en en_half cnts err model
0.15268451 4.53845002E-2 2.96318158E-5 3.5352703E-5 7.9319856E-5
0.219308496 2.12394968E-2 2.37557862E-4 1.18906646E-4 1.27863837E-4
0.259055495 1.85074881E-2 3.47228895E-4 1.56030481E-4 1.43784375E-4
0.309102476 3.15395147E-2 8.32396909E-5 5.89226365E-5 1.65997015E-4
0.358920515 1.82784945E-2 3.63614206E-4 1.3743325E-4 1.92760999E-4
0.395385504 1.81864947E-2 3.42582003E-4 1.29483829E-4 2.16202665E-4
0.441958487 2.83865035E-2 2.18888192E-4 8.32847145E-5 2.43576069E-4
0.498495996 2.81509906E-2 3.61025392E-4 1.04962855E-4 2.45725358E-4
0.544440985 1.7794013E-2 2.12299012E-4 9.49430032E-5 2.04148804E-4
0.584978998 2.2744E-2 2.83640024E-4 1.01041718E-4 1.76049551E-4
0.62531352 1.7590493E-2 2.25255557E-4 9.19601953E-5 1.72420725E-4
0.662907481 2.00035274E-2 2.17697758E-4 8.22820148E-5 1.72542073E-4
0.700332046 1.74209774E-2 1.20217708E-4 6.98599033E-5 1.67774648E-4
0.742518008 2.47650146E-2 1.26556697E-4 5.70233096E-5 1.57854025E-4
0.784541011 1.72579885E-2 1.8954133E-4 7.73799256E-5 1.49101194E-4
0.819000483 1.72015131E-2 1.85372337E-4 7.56779336E-5 1.42504854E-4
0.860689998 2.44879723E-2 1.26961138E-4 5.18316665E-5 1.32456829E-4
0.909581482 2.44035125E-2 1.14480397E-4 5.15820284E-5 1.20539284E-4
0.965611994 3.16269994E-2 7.87827157E-5 3.94337148E-5 1.10344277E-4
1.02393949 2.67004967E-2 1.25770253E-4 4.75366905E-5 1.00935344E-4
1.07973504 2.90949941E-2 5.68698015E-5 3.30477014E-5 9.20317907E-5
1.12821496 1.93849802E-2 1.65723832E-4 6.26377223E-5 8.46982221E-5
1.17667997 2.90800333E-2 1.0861436E-4 4.1052368E-5 7.79473557E-5
1.23243499 2.66749859E-2 9.98525211E-5 4.07646221E-5 7.08362277E-5
1.27852988 1.94199681E-2 5.72931604E-5 4.05559404E-5 6.53722527E-5
1.32711995 2.91700363E-2 4.4755423E-5 2.58395557E-5 6.00021049E-5
1.40258503 4.62949872E-2 2.35361822E-5 1.66604877E-5 5.29260215E-5
1.473315 2.44350433E-2 5.23668386E-5 3.02340086E-5 4.73298714E-5
1.51733506 1.95850134E-2 6.54529576E-5 3.77892793E-5 4.42353048E-5
1.57125998 3.43399644E-2 3.76983262E-5 2.17651395E-5 4.07366606E-5
1.63511503 2.9515028E-2 4.37155941E-5 2.52392092E-5 3.69691188E-5
1.70161009 3.69799733E-2 3.43391184E-5 1.98256985E-5 3.35520926E-5
1.78061509 4.20250297E-2 3.00856591E-5 1.73699627E-5 3.00352112E-5
1.85237002 2.97299623E-2 4.58570394E-5 2.64755745E-5 2.71522567E-5
1.92678499 4.46850061E-2 3.2403259E-5 1.87080295E-5 2.44160783E-5
2.01872492 4.72549796E-2 3.15158322E-5 2.16332683E-5 2.17167872E-5
2.120785 5.48050404E-2 2.72332327E-5 1.57231134E-5 1.92174375E-5
2.30287981 0.127289891 1.56795359E-5 9.05258366E-6 1.56864498E-5
2.64259005 0.212420106 9.97627558E-6 5.75980539E-6 1.07718552E-5
3.05000496 0.194994926 8.86737325E-6 6.27692179E-6 7.31548334E-6
3.34499979 0.100000024 1.71125703E-5 1.21134253E-5 5.67038114E-6
3.59499979 0.149999976 1.32723535E-5 7.66279663E-6 4.6619457E-6
3.83999991 9.50000286E-2 2.06000659E-5 1.18934531E-5 3.88580338E-6
4.86499977 0.930000067 1.12769646E-6 1.34541597E-6 2.16342187E-6
6.32499981 0.529999971 3.2307687E-6 3.33811158E-6 9.94298716E-7
7.48750019 0.632499933 3.19433275E-6 3.81104883E-6 6.2497611E-7
11.5599995 3.44000006 1.43406578E-6 4.32975639E-6 3.32912464E-7
