Angle   Offset  Sigma   err_Sigma         
163.0   -30.4   166.4   8.6 
163.0   -16.6   179.2   8.5 
163.0    13.5   197.1   7.6 
163.0    11.2   213.6   7.8 
163.0    -8.9   212.4   5.1 
163.0    33.7   149.0   8.8 
163.0   -11.1   205.4   5.2 
163.0   -22.1   186.5   6.4 
163.0    -6.7   218.2   4.0 
 73.0   -10.4   202.1   9.6 
163.0    16.7   192.5   6.2 
 73.0   -15.8   161.4  10.3 
163.0     9.0   212.9   5.8 
163.0    22.2   160.4   6.6 
163.0    -4.4   226.8   3.0 
 73.0     7.2   180.0   9.1 
 73.0     5.5   201.2   6.3 
 73.0    -4.6   211.2   7.1 
 73.0    21.2   177.7  15.1 
 73.0    -1.2   244.6  11.5 
 73.0     2.1   250.3   5.8 
 73.0    13.6   172.0  12.4 
 73.0     0.4   256.2   3.2 
 73.0    -2.9   220.0   5.2 
 73.0     3.8   222.7   6.7 
163.0   -13.4   184.3   5.2 
163.0     0.1   241.8   3.0 
163.0     2.3   238.7   2.2 
 73.0    -6.3   189.6   7.8 
 73.0     9.6   195.8  12.5 
163.0     4.5   228.2   3.2 
 73.0    -8.0   195.3  15.8 
163.0     6.8   214.8   3.5 
163.0    -2.2   236.8   2.0 
 73.0   -27.1   161.8  21.5 
