Angle   Offset    Sigma  err_Sigma
20.0    6.9       319.6  11.2 
20.0    9.5       333.5  10.3 
20.0    2.1       363.3   7.7 
20.0    3.5       353.6  10.6 
20.0    5.0       333.1  10.4 
20.0   -9.0       323.7   9.2 
20.0   -1.8       359.1   8.8 
20.0   -6.6       321.0   9.8 
20.0   -4.7       340.2   9.0 
20.0   -3.1       352.7  11.3 
20.0   13.4       302.8  12.8 
20.0  -38.4       316.4  23.3 
20.0  -19.0       319.2  14.4 
20.0   42.4       321.6  30.0 
20.0   21.4       308.1  13.3 
20.0  -12.4       311.6  11.0 
